id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Neon Cipher,Byte Rhymes,hip hop,confident,0.84,96,0.68,0.86,0.14
12,Velvet Avenue,Luna Hart,rnb,romantic,0.58,88,0.74,0.72,0.39
13,Prairie Lines,Oak Thread,country,nostalgic,0.49,102,0.63,0.57,0.67
14,Golden Tide,Solar Samba,reggaeton,playful,0.89,104,0.83,0.91,0.09
15,Cathedral Echoes,North Chamber,classical,peaceful,0.22,64,0.52,0.19,0.97
16,Iron Horizon,Forge Anthem,metal,aggressive,0.97,172,0.34,0.45,0.03
17,Marina Glow,Blue Atlas,deep house,euphoric,0.81,122,0.79,0.87,0.12
18,Silver Lullaby,Cloud Harbor,dream pop,dreamy,0.33,76,0.58,0.52,0.74
